"C:0","C:1","C:2","Cx","Cy","Cz","Mas","Points:0","Points:1","Points:2","Ret","T","U:0","U:1","U:2","alphat","grad(p):0","grad(p):1","grad(p):2","im","k","nut","omega","p","pseudoCoField","rho","vorticity:0","vorticity:1","vorticity:2","wallShearStress:0","wallShearStress:1","wallShearStress:2","xc","yPlus"
0.044938,0.053089,-0.003,0.044938,0.053089,-0.003,0.69705,0.044939,0.053091,-0.003,80.536,350.47,0,0,0,0,9.6074e+06,8.2304e+05,0.00028275,0.025763,14.295,0,7.1624e+07,73240,16.865,0.72703,-1.0613e-05,7.4846e-06,5.5267e+05,-7.4314,-7.2771,-3.0922e-11,0.99364,1.3055
0.044955,0.053126,-0.003,0.044955,0.053126,-0.003,0.69406,0.044956,0.053128,-0.003,77.905,350.89,0,0,0,0,8.2255e+06,5.6412e+05,7.7963e-05,0.032471,10.05,0,7.1498e+07,73435,16.865,0.72798,1.3986e-06,-7.2565e-07,-3.0391e+05,-0.13358,6.1285,2.4168e-12,0.9942,0.79315
0.044968,0.053159,-0.003,0.044968,0.053159,-0.003,0.69201,0.044968,0.05316,-0.003,71.702,351.55,0,0,0,0,5.4991e+06,-1.2413e+05,-3.4254e-05,0.044176,7.5221,0,7.1504e+07,73568,16.865,0.72779,6.638e-07,-5.4287e-07,-7.0694e+05,2.9865,12.676,4.7385e-12,0.99468,0.84565
0.044977,0.053187,-0.003,0.044977,0.053187,-0.003,0.69072,0.044978,0.053188,-0.003,64.574,351.94,0,0,0,0,2.286e+06,-42711,-6.8988e-05,0.058547,6.0898,0,7.1571e+07,73652,16.865,0.72737,-3.0577e-05,8.8189e-06,-8.7479e+05,4.7167,15.232,1.1155e-11,0.99508,1.0941
0.044985,0.053212,-0.003,0.044985,0.053212,-0.003,0.68991,0.044986,0.053213,-0.003,59.108,351.93,0,0,0,0,2.1011e+06,7.4314e+05,-7.9785e-05,0.071176,5.234,0,7.1619e+07,73705,16.865,0.72765,-1.6196e-06,1.2475e-06,-9.6237e+05,5.2371,16.498,1.237e-11,0.99542,1.1871
0.044991,0.053235,-0.003,0.044991,0.053235,-0.003,0.68939,0.044991,0.053235,-0.003,55.317,351.79,0,0,0,0,7.0007e+05,1.4574e+06,6.0113e-05,0.076336,4.449,0,7.1598e+07,73739,16.865,0.72835,2.2316e-05,-6.6734e-06,-9.8405e+05,4.6977,16.984,1.3009e-11,0.99572,1.246
0.044996,0.053256,-0.003,0.044996,0.053256,-0.003,0.68896,0.044996,0.053256,-0.003,52.567,351.75,0,0,0,0,-1.3087e+06,1.66e+06,0.00032025,0.079463,3.8002,0,7.1667e+07,73767,16.865,0.72872,-5.2538e-05,9.6811e-06,-9.7089e+05,4.1379,16.887,1.4744e-11,0.996,1.2825
0.045,0.053277,-0.003,0.045,0.053277,-0.003,0.6886,0.045,0.053277,-0.003,50.389,351.74,0,0,0,0,-1.799e+06,1.6324e+06,0.00038855,0.0821,3.3077,0,7.1664e+07,73790,16.865,0.72902,-7.3671e-05,1.3399e-05,-9.4707e+05,3.4669,16.593,3.3743e-12,0.99627,1.285
0.045004,0.053299,-0.003,0.045004,0.053299,-0.003,0.68829,0.045004,0.053299,-0.003,48.618,351.73,0,0,0,0,-1.6726e+06,1.1752e+06,0.00018513,0.08233,2.9311,0,7.1445e+07,73810,16.865,0.72928,-5.1752e-05,8.0985e-06,-9.0245e+05,2.781,15.92,-3.677e-12,0.99654,1.2634
0.045007,0.05332,-0.003,0.045007,0.05332,-0.003,0.68814,0.045007,0.05332,-0.003,47.192,351.74,0,0,0,0,-1.4756e+06,6.9093e+05,0.00012071,0.082616,2.6489,0,7.1227e+07,73820,16.865,0.72938,-5.9603e-05,7.319e-06,-8.541e+05,2.1114,15.115,-7.2926e-12,0.9968,1.2381
0.045009,0.053342,-0.003,0.045009,0.053342,-0.003,0.68804,0.045009,0.053342,-0.003,46.084,351.75,0,0,0,0,-1.3245e+06,4.1046e+05,0.0001823,0.082147,2.4628,0,7.1071e+07,73826,16.865,0.72944,-6.5608e-05,5.2608e-06,-8.1195e+05,1.3533,14.372,1.6904e-12,0.99705,1.2146
0.04501,0.053364,-0.003,0.04501,0.053364,-0.003,0.68802,0.04501,0.053364,-0.003,45.257,351.77,0,0,0,0,-6.827e+05,3.5894e+05,0.00010651,0.081432,2.3961,0,7.1249e+07,73828,16.865,0.72943,-3.1073e-05,1.9963e-06,-7.8675e+05,0.4906,13.879,-1.3964e-11,0.9973,1.2006
